ensembl_gene_id,logFC,logCPM,F,PValue,FDR,cluster_comparison
MALAT1_ENSG00000251562,3.7347409366434903,15.73844970344598,15068.17963691264,0,0,2vs1
NEAT1_ENSG00000245532,3.6425422096011726,9.340083761991133,5836.450297143166,0,0,2vs1
DST_ENSG00000151914,3.327817241550091,8.455470483853604,2995.5362105195345,0,0,2vs1
SULF2_ENSG00000196562,3.2577770081844344,8.128651359781106,2488.2234427342355,0,0,2vs1
PRH1_ENSG00000231887,3.234227038117937,8.176290376055162,2485.322376345292,0,0,2vs1
HSPA5_ENSG00000044574,3.2269906329453746,9.553246382399676,5379.094729218963,0,0,2vs1
ASH1L_ENSG00000116539,3.097395799468365,8.177485016727376,2131.7421592484457,0,0,2vs1
POLR2J3_ENSG00000285437,3.0423331683194266,8.369739647421731,2469.260839258018,0,0,2vs1
CHD9_ENSG00000177200,2.931760040399375,8.408645373185173,2345.6187445501337,0,0,2vs1
N4BP2L2_ENSG00000244754,2.9263755133404135,8.443532267007525,2244.4917638255356,0,0,2vs1
TFRC_ENSG00000072274,2.9166865988408515,8.223701119093477,2008.2622271939633,0,0,2vs1
ATP1A1_ENSG00000163399,2.904056398088507,8.617532420333811,2828.3238736614085,0,0,2vs1
SLC3A2_ENSG00000168003,2.8711290353319145,8.465504702605527,2275.256681546522,0,0,2vs1
ANKRD28_ENSG00000206560,2.8634548645889497,8.312748020862454,1828.7766800872773,0,0,2vs1
AKAP9_ENSG00000127914,2.848885388823371,8.446262711897576,2169.1448817879923,0,0,2vs1
AC004687.1_ENSG00000265206,2.787313927475965,8.37656409841932,1648.7617871631992,0,0,2vs1
PARP14_ENSG00000173193,2.764039163015086,8.317447780217673,1665.7460500289515,0,0,2vs1
NKTR_ENSG00000114857,2.7584796631404704,8.33601500180591,1825.6647982802938,0,0,2vs1
PDIA4_ENSG00000155660,2.741320352822698,8.793141119453823,2225.2725564099833,0,0,2vs1
ITGB7_ENSG00000139626,2.737796125292733,8.61536941562965,2369.419869154828,0,0,2vs1
SYNE2_ENSG00000054654,2.7031397312668486,8.87419491049152,2655.4097518618833,0,0,2vs1
HLA-DRB1_ENSG00000196126,2.684542897558404,11.945745192554327,9373.694021345886,0,0,2vs1
GRN_ENSG00000030582,2.615884163914452,8.687212327867435,2169.838584272457,0,0,2vs1
ENTPD1_ENSG00000138185,2.609540789064677,8.588221530879567,2057.823447438792,0,0,2vs1
CCNL1_ENSG00000163660,2.6088754787166675,8.495148606456464,1801.40988259264,0,0,2vs1
